Text,Created At,Favorite Count,Id Str,In Reply To Screen Name,In Reply To Status Id Str,Lang,Retweet Count,Source,Is Retweet
Get caught up. #WDYM is streaming NOW on @Twitter! https://t.co/r6uP2t5xl2,10/6/2017 20:00,7,9.16E+17,,,en,4,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
The Trump administration wants an easier path for firms to go public https://t.co/RdLxJyMdtM https://t.co/bMmWCo2TgC,10/6/2017 20:02,10,9.16E+17,,,en,10,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Trump officials dispute the benefits of birth control to justify rules https://t.co/i161m2Rbne https://t.co/nTMx2U9hZw,10/6/2017 20:03,27,9.16E+17,,,en,31,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Catalonia has rekindled separatist aspirations all over the globe. Here are 5 to watch https://t.co/FyUVGkssN4 https://t.co/Arkr2oDQA4,10/6/2017 20:10,30,9.16E+17,,,en,36,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
The oil market's been ignoring geopolitical risks. A huge one is looming. https://t.co/dU9ql5zhwI https://t.co/czNCC3VsmE,10/6/2017 20:16,19,9.16E+17,,,en,25,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
U.S. stocks take a breather after a record-breaking run #WDYM https://t.co/2OZY39Z3gA https://t.co/HPJln6W11U,10/6/2017 20:20,15,9.16E+17,,,en,12,"<a href=""http://snappytv.com"" rel=""nofollow"">SnappyTV.com</a>",No
Donald Trump can't make being public great again https://t.co/Bn6Jy5aQiG via @gadfly https://t.co/Kxk9hCNzxW,10/6/2017 20:24,19,9.16E+17,,,en,13,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
How Trump can oppose the Iran deal but not leave it https://t.co/HMmhxiibqC https://t.co/se07POOZk9,10/6/2017 20:31,15,9.16E+17,,,en,18,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
RT @GillianTan: Donald Trump (and @USTreasury) can't make being public great again https://t.co/kjbVhvLLjk via @gadfly https://t.co/hShJEyG…,10/6/2017 20:33,0,9.16E+17,,,en,7,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Yes
Here's how 15 Seconds of Fame is enhancing the fan experience https://t.co/HWIoeF5vqr https://t.co/xVwh4D5tNe,10/6/2017 20:36,23,9.16E+17,,,en,11,"<a href=""http://snappytv.com"" rel=""nofollow"">SnappyTV.com</a>",No
.@CassSunstein has a people's choice guide for the economics Nobel https://t.co/HJk7zwZWMK via @BV https://t.co/XxZMPO8sWM,10/6/2017 20:38,14,9.16E+17,,,en,16,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Married Americans are more unhappy than ever https://t.co/kx04URhig8 https://t.co/VRb2Knj9C6,10/6/2017 20:45,62,9.16E+17,,,en,36,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Nancy Pelosi's reign is in serious trouble https://t.co/4bqyBiHPFN via @BV https://t.co/idG1kYN9XP,10/6/2017 20:52,30,9.16E+17,,,en,24,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
U.S. approves $15 billion THAAD missile package for Saudi Arabia https://t.co/JYVG3qEjky https://t.co/AveLAeCG0L,10/6/2017 21:00,43,9.16E+17,,,en,89,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Don't miss it! #BTECH is streaming LIVE on @Twitter https://t.co/Z2eKcAuXAJ,10/6/2017 21:00,1,9.16E+17,,,en,0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Religious freedom rules spark new legal battles in culture war https://t.co/VccdbUAUUs https://t.co/7LUjiRLsOI,10/6/2017 21:07,12,9.16E+17,,,en,12,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Tesla will push back the reveal of its semi truck by 3 weeks https://t.co/RIxBrDsT9L https://t.co/NnWJDganJf,10/6/2017 21:13,41,9.16E+17,,,en,26,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
"Ryanair COO resigns after a management misstep resulted in 20,000+ flights cancellations https://t.co/ST1o4iytbZ https://t.co/mXGvShE50N",10/6/2017 21:16,12,9.16E+17,,,en,16,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Senate Judiciary chairman questions FBI use of Dossier on Trump https://t.co/RUgM2YSdnE https://t.co/ADl29IMR39,10/6/2017 21:24,13,9.16E+17,,,en,19,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Ryanair Chief Operating Officer Michael Hickey will step down https://t.co/Zd6Rbs3R3W https://t.co/mnM6CiBAgc,10/6/2017 21:28,13,9.16E+17,,,en,21,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
"Pence tells Puerto Ricans the U.S. government will be there ""for the long haul"" https://t.co/KBf9KdaWaz https://t.co/P8z4IUVb4T",10/6/2017 21:31,13,9.16E+17,,,en,16,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
This country has the world's highest energy prices ...despite huge coal and gas reserves https://t.co/rsmVA40oZZ https://t.co/wnuWPG949f,10/6/2017 21:35,19,9.16E+17,,,en,22,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
The company that makes “Game of Thrones” and “Star Wars” bobble heads filed for a U.S. IPO https://t.co/ROxZOZqqsT https://t.co/5Xs4P5vRVS,10/6/2017 21:40,15,9.16E+17,,,en,11,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
"Australia has slower internet than Kenya, Russia and Hungary",10/6/2017 21:46,62,9.16E+17,,,in,85,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
JUST IN: Trump’s Fed picks will need to show willingness to deregulate https://t.co/UxVoKViDZ9 https://t.co/AwmR1jBWxu,10/6/2017 21:47,16,9.16E+17,,,en,21,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Financial deregulation emerges as litmus test for Trump Fed nominees https://t.co/E8KOkT9IBJ https://t.co/B0OcNYW5W0,10/6/2017 21:50,19,9.16E+17,,,en,14,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Investors who bet on female presidents this year came out ahead https://t.co/fEAXeKtbbk https://t.co/Y8jaYQ0JTe,10/6/2017 21:58,26,9.16E+17,,,en,15,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Democrats should relax. @EliLake says Trump isn't withdrawing from the Iran deal https://t.co/7sVpnd8gPx via @BV https://t.co/h1E63QBdbE,10/6/2017 22:04,12,9.16E+17,,,en,18,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
"If Amazon wants to make loans, Wall Street should be nervous https://t.co/OpBhJlubFb via @gadfly https://t.co/rrEptcYxgN",10/6/2017 22:10,40,9.16E+17,,,en,22,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Stocks rally despite the forecast for weak earnings growth https://t.co/EchgtHwURp https://t.co/vQUPG8rT0p,10/6/2017 22:16,11,9.16E+17,,,en,8,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Sydney residents are cashing out of million-dollar homes and moving to the tropical north https://t.co/9E8oaXPFMV https://t.co/Hm9s74XQKF,10/6/2017 22:21,31,9.16E+17,,,en,25,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Bernard Arnault is the biggest mover on our Billionaires Index. He lost $737 million today https://t.co/fPE0K9xvKe https://t.co/JoIIs1Tjyw,10/6/2017 22:22,31,9.16E+17,,,en,25,"<a href=""http://snappytv.com"" rel=""nofollow"">SnappyTV.com</a>",No
The rainforests may be harboring a secret carbon bomb https://t.co/4tHaFgyB7G https://t.co/WhO2dfh9LZ,10/6/2017 22:27,26,9.16E+17,,,en,13,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Janet Yellen has done a great job on jobs. @mrkwhths charts her record https://t.co/41B0JEdBpr via @BV https://t.co/s4bGQu5GbN,10/6/2017 22:33,36,9.16E+17,,,en,22,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
A little bit of hypocrisy goes a long way https://t.co/CKSoLkBv4l via @BV https://t.co/7wAAYQILnd,10/6/2017 22:38,21,9.16E+17,,,en,16,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Where did all the restaurant workers go? @foxjust takes a look at the jobs report https://t.co/8wBqvV9YyS via @BV https://t.co/KHyeysLpKp,10/6/2017 22:44,14,9.16E+17,,,en,9,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
How Blade Runner 2049 rewrites business history https://t.co/b9SO1K0y9h https://t.co/IkRkE02qvH,10/6/2017 22:50,65,9.16E+17,,,en,19,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
Ryanair turns on the charm. Things really must be bad https://t.co/c4XGwM34Ie via @gadfly https://t.co/DEMT1uxwn0,10/6/2017 22:56,16,9.16E+17,,,en,12,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",No
