term,#messages,#instances
"#data17",3975,3976
"@tableau",1650,1692
"#tableau",785,785
"data",495,511
"#ironviz",369,369
"tableau",336,349
"conference",315,318
"#tc17",311,311
"great",309,331
"@informatica",295,295
"#python",273,273
"@donttrythis",244,248
"leader",230,230
"year",223,227
"#datacatalog",212,212
"informatica",209,209
"week",207,208
"vegas",165,169
"#science",162,162
"time",161,163
"join",157,157
"ready",152,152
"community",148,151
"session",146,147
"keynote",144,144
"make",138,139
"#wearedatapeople",133,133
"live",129,149
"wait",128,128
"adam",127,129
"savage",127,129
"excited",110,110
"straight",110,110
"#dataviz",106,106
"https://t.…",106,106
"#sql",105,105
"12th",105,105
"check",105,105
"booth",105,105
"people",104,105
"#tc18",103,103
"@tristanguillevi",103,103
"#vegasstrong",103,103
"meet",99,101
"https://t.co/0r1idtllpx",95,95
"orleans",95,95
"named",94,94
"@infacloud",93,93
"analytics",91,91
"https://t.co/my64oxupgb",91,91
"love",87,91
"learning",81,81
"awesome",81,83
"ultimate",79,79
"@tableaupublic",79,80
"#bigdata",78,78
"#hadoop",78,78
"#datapluswomen",78,78
"https://t.co/2n0ktamwgw",77,77
"amazing",77,77
"hear",77,77
"home",74,75
"https:…",74,74
"@datachloe",73,73
"power",73,74
"#datanightout",73,73
"good",73,75
"https://t.co/i2t5o1eks3",71,71
"https://t.co/…",71,71
"learn",70,71
"team",69,70
"@anyaahearn",68,74
"forward",68,68
"#powerbi",66,66
"experience",65,65
"@allanwalkerit",64,66
"back",64,64
"miss",63,63
"today",63,63
"share",63,63
"waiting",63,63
"@annujackson",62,62
"#devsonstage",61,61
"#data",61,61
"congratulations",60,60
"@alteryx",59,60
"@j_olsufka",59,59
"@sarahlovesdata",58,58
"talk",58,59
"stage",58,58
"#datascience",57,57
"@mandalaybay",57,57
"nerds",56,57
"unleash",56,56
"@drexelpooja",56,56
"@cheeky_chappie",55,55
"@vizpainter",55,55
"product",55,55
"heading",54,54
"#analytics",54,54
"life",54,54
"blog",53,53
"find",53,53
"night",52,55
"@vizwizbi",52,52
"tips",51,53
"support",50,50
"#lasvegas",50,50
"insights",50,50
"full",49,49
"continues",49,49
"@emily1852",48,48
"attend",48,48
"work",48,48
"#makeovermonday",47,47
"visit",47,47
"@paulbanoub",46,47
"friends",46,46
"iron",46,47
"sessions",45,46
"register",45,45
"source",45,45
"discover",45,45
"@acrahen",45,45
"create",45,45
"winner",44,44
"held",44,44
"don’t",44,45
"tc17",43,43
"read",43,43
"w/15k",42,42
"shadow",42,42
"latest",42,42
"terror",42,42
"wrap",42,42
"f/#data17",42,42
"@j0ecampb3ll",42,42
"evil",42,42
"@ta…",42,42
"making",42,43
"watch",41,41
"@justeengales",41,41
"complete",41,41
"story",40,42
"partners",40,40
"@trimydata",40,41
"maps",39,39
"@teknionds",39,39
"final",38,38
"show",38,38
"https://t.co/fmgk4lk68x",38,38
"#metadata",38,38
"https://t.c…",37,37
"@flerlagekr",37,37
"visual",37,37
"@acotgreave",37,37
"https://t.co…",37,37
"@coreyj34",36,37
"participated",36,36
"showcasing",36,36
"multiple",36,36
"tomorrow",36,41
"https…",36,36
"#women",36,36
"nice",36,36
"context",35,35
"service",35,35
"open",35,35
"news",35,37
"coming",35,35
"thought",35,35
"award",35,35
"foundation",34,34
"feeders",34,34
"##data17",34,34
"python",34,35
"#data17donates",34,34
"@louisarcher",34,34
"monday",34,34
"catalog",34,34
"@planetbrandee",34,34
"blue",34,34
"features",34,34
"store",34,34
"morning",34,35
"competition",33,34
"mandalay",33,33
"analysis",33,33
"@dataremixed",33,33
"https://t…",33,33
"recap",33,33
"#data18",32,32
"management",32,32
"stop",32,32
"user",32,34
"#womenintech",32,32
"meeting",32,32
"free",32,32
"dashboard",32,35
"incredible",32,32
"improve",31,31
"skies",31,31
"demo",31,31
"#fanalytics",31,31
"#digitalnomad",31,31
"made",31,31
"twitter",30,30
"@mix_pix",30,30
"vizzes",30,30
"@infolabuk",30,30
"#data17…",30,30
"https://…",30,30
"rachel",30,30
"beginners",30,30
"#tableau…",29,29
"@becomingdatasci",29,29
"congrats",29,29
"https://t.co/dbamxtzlko",29,29
"#morethan",29,29
"reason",29,29
"joined",29,29
"#dataprep",29,29
"it’s",29,30
"disruptive",28,28
"flight",28,29
"dashboards",28,28
"#fanalytics17",28,28
"cool",28,28
"#travel",28,28
"@spotify",28,28
"https:/…",28,28
"@jeweloree",28,28
"inspiration",28,28
"#li…",28,28
"@jadalytics",27,27
"@freakonomics",27,27
"aesthetic",27,27
"sunday",27,27
"early",27,28
"andysugs",27,58
"@databrit",27,27
"#dataintegration",27,27
"business",26,26
"https://t.co/txzq9kvhsg",26,26
"https://t.co/otid5wlnhy",26,26
"williams",26,26
"inaugural",26,26
"interesting",26,26
"post",26,27
"@romstar1066",26,26
"learned",26,26
"interactive",26,26
"talithia",26,26
"comparison",25,25
"https://t.co/urktk3ydv6",25,25
"geek",25,25
"special",25,25
"battle",25,25
"https://t.co/xzonig2zws",25,25
"can’t",25,25
"attending",24,24
"#big_data",24,24
"missed",24,25
"inspired",24,24
"linux",24,32
"https://t.co/m3sh4kitru",24,24
"https://t.co/jlgvanm34u",24,24
"challenge",24,24
"updates",24,24
"@xlth",23,23
"@simonbeaumont04",23,23
"@icimo",23,25
"ironviz",23,23
"event",23,24
"days",23,23
"server",23,25
"leaders",23,23
"tooltip",23,23
"philosophy",23,23
"concept",22,22
"https://t.co/ywts…",22,22
"https://t.co/ptqknodur0",22,22
"@jonathandrummey",22,22
"https://t.co/guw5upka8j",22,22
"@matt_francis",22,22
"chance",22,22
"building",22,22
"@craigbloodworth",22,22
"🎉 we",22,22
"@josh_tapley",22,22
"@mtedw",22,22
"@adamemccann",22,22
"https://t.co/tr2ls2yhsp",22,22
"devs",21,21
"super",21,23
"@tableautim",21,21
"glad",21,21
"users",21,21
"@aselipsky",21,21
"@markbradbourne",21,22
"peer",21,21
"hope",21,21
"area",21,21
"online",21,21
"group",20,20
"@jonni_walker",20,20
"hadoop",20,20
"#businessintelligence",20,20
"feedback",20,20
"gold",20,20
"exploratory",20,20
"talking",20,20
"@chanjagg",20,21
"watching",20,20
"@mikevizneros",20,20
"tweet",20,20
"proud",20,20
"http…",20,20
"#python…",20,20
"thinking",20,20
"calling",20,20
"@exasolag",19,19
"@datakmart",19,19
"ambassador",19,19
"importance",19,19
"sharing",19,19
"found",19,19
"we’re",19,19
"hours",19,19
"guide",19,19
"@defreifeld",19,19
"https://t.co/g…",19,19
"you’re",19,22
"@akjkim",19,19
"hyper",19,27
"@trinalytics",19,19
"choice",19,19
"https://t.co/ztsnkdbh0j",19,19
"alexa",19,19
"comparison resource",19,19
"glasses",19,19
"@interworks",19,19
"goals",19,19
"badass",18,18
"everyone’s",18,18
"skills",18,18
"real",18,18
"@robradburn",18,18
"tutorial",18,18
"heatmaps",18,18
"https://t.co/ix1dfx8duz",18,18
"luck",18,18
"#deep_learning",18,18
"quick",18,18
"certifications",18,18
"thing",18,18
"photo",18,18
"course☞",18,18
"@lorna_eden",18,18
"requires",18,18
"excellent",18,18
"understand",18,18
"writing",18,18
"article",18,18
"game",18,18
"beginners☞",18,18
"awards",18,18
"safe",18,18
"@gartner_inc",18,18
"fail",18,19
"minutes",18,18
"nerd",18,19
"@ajenstat",17,17
"space",17,17
"#vegas",17,17
"https://t.co/03…",17,17
"https://t.co/aydner1fk9",17,17
"master",17,17
"myths",17,17
"track",17,17
"@harris7curtis",17,17
"creating",17,17
"solve",17,18
"@amarendranathd",17,17
"guests",17,17
"#hadoop…",17,17
"https://t.co/cemjlx5iig",17,17
"#bestoftableauweb",17,17
"dose",17,17
"enjoyed",17,17
"limited",17,17
"https://t.co/owfjf4rk7q",17,17
"techniques",17,17
"village",17,17
"finally",17,17
"folks",17,17
"https://t.co/hzu8dfddl9",17,17
"project",17,17
"favorite",17,17
"problem",17,17
"python☞",17,17
"@theneilrichards",16,16
"moments",16,16
"innovations",16,16
"@tri…",16,16
"years",16,16
"self-service",16,16
"makes",16,16
"platform",16,16
"party",16,17
"bringing",16,16
"office",16,16
"travels",16,16
"beautiful",16,16
"@skybjohnson",16,16
"presentation",16,16
"10th",16,16
"#sweepstakes",16,16
"fantastic",16,16
"#protip",16,16
"#machinelearning",16,16
"hacking",16,18
"effects",16,16
"let’s",16,16
"screen",16,16
"@echenty",16,17
"fans",16,16
"#tutorial",16,16
"resource",16,16
"feel",15,16
"selfie",15,15
"happy",15,15
"advanced",15,15
"feature",15,15
"yoga",15,15
"common",15,15
"forget",15,15
"revealed",15,15
"hanging",15,15
"https://t.co/eban4eamoa",15,15
"speed",15,15
"#bbod",15,15
"tweets",15,15
"complex",15,15
"#vizforsocialgood",15,15
"#datavisualization",15,15
"stories",15,15
"partner",15,15
"loved",15,15
"@thedataduo",15,15
"geeks",15,15
"facebook",15,15
"tattoos",15,15
"@pointsofviz",15,15
"convention",15,15
"@apsdatateam",15,15
"@deloitteba",15,15
"@srijan",15,15
"science",15,16
"photoshop",15,17
"2017基調講演レポート『devs",14,14
"#datarockstars",14,14
"keynote』(各種新機能の紹介",14,14
"helping",14,14
"center",14,14
"@gilra",14,14
"calculator",14,14
"packed",14,14
"relive",14,14
"#tableauvision",14,14
"things",14,14
"blast",14,14
"https://t.co/rznk2dlxpq",14,14
"ethical",14,14
"survey",14,14
"attendees",14,14
"questions",14,14
"developer",14,14
"content",14,14
"friend",14,15
"created",14,14
"taking",14,14
"@cloudera",14,14
"#60secviztips",14,14
"weekend",14,14
"#ukhealthtug",14,14
"#mythbusters",14,14
"@lukestanke",14,14
"https://t.co/ekq55wmhd3",14,14
"#ivgui",14,14
"#adamsavage",14,14
"👋#wearedatapeople",14,14
"https://t.co/8lspw97a5b",14,14
"feeling",14,14
"exciting",14,14
"@_data_analytics",14,14
"architect",13,13
"beginner",13,13
"swag",13,13
"@bigdatatuts",13,13
"sticker",13,13
"@ds_course",13,13
"laptop",13,13
"stuff",13,13
"casino",13,13
"starting",13,13
"@pablolgomez",13,13
"@surajshah212",13,13
"#cloud",13,13
"hear👂about",13,13
"missing",13,13
"moment",13,13
"past",13,13
"quickly",13,13
"wrapped",13,13
"catching",13,13
"coding",13,13
"courses",13,15
"characters",13,13
"💪school",13,13
"@summigoyal",13,13
"room",13,13
"connect",13,13
"bring",13,13
"#aws",13,13
"started",13,13
"shared",13,13
"@ncbignell",13,13
"fast",13,13
"arena",13,13
"turnaround!@carstarphenmj",13,13
"place",13,13
"resources",13,13
"ideas",13,13
"front",13,14
"showing",13,13
"@umich",13,13
"hosting",13,13
"hands-on",13,13
"happen",13,13
"enterprise",13,13
"world",13,13
"public",13,13
"@cmswire",13,13
"training",13,13
"😃packed",13,13
"whoa",13,13
"📈📊to",13,13
"marketing",13,13
"scratch☞",13,13
"putting",13,13
"virtually",12,12
"hackathon",12,12
"hearing",12,12
"practice",12,12
"@tfoldi",12,12
"test",12,12
"@ktfontno",12,12
"stay",12,12
"@zachbowders",12,12
"@magsmagsk",12,12
"@actinvision",12,12
"fill",12,12
"#datadriven",12,12
"@slalom",12,12
"ending",12,12
"@elissafink",12,12
"shirt",12,12
"@robcrock",12,12
"high",12,12
"😀@shetalksdata",12,12
"#millionthviz",12,12
"#vizgoals",12,13
"bitcoin☞",12,12
"wordpress",12,12
"bloomed",12,12
"mapping",12,12
"seconds",12,12
"strong",12,12
"shows",12,12
"fellow",12,12
"bitcoin",12,12
"totally",12,12
"https://t.co/wvl41z3z1s",12,12
"landed",12,12
"dancing",12,12
"@dataiku",12,12
"@highvizability",12,12
"https://t.co/vubzwzq2du",12,12
"trading",12,12
"website",12,12
"@data_science_ry",12,12
"#art",12,12
"song",12,12
